** VERSION: EYELINK II 1
** Reduced, de-identified Pyxations integration fixture
MSG 2400100 !CAL
MSG	2400101 beginning_of_target
MSG	2400107 RECCFG CR 1000 2 0 LR
MSG	2400107 ELCLCFG BTABLER
MSG	2400107 GAZE_COORDS 0.00 0.00 1920.00 1080.00
MSG	2400107 THRESHOLDS L 146 243  R 143 240
MSG	2400107 ELCL_PROC ELLIPSE  (5)
MSG	2400107 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
START	2400108 	LEFT	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
MSG	2400108 !MODE RECORD CR 1000 2 0 LR
2400171	  857.6	  490.8	  666.0	  881.5	  527.2	  645.0	.....
2400172	  857.7	  491.9	  667.0	  882.0	  528.5	  645.0	.....
2400173	  857.1	  492.6	  667.0	  882.8	  529.4	  645.0	.....
2400174	  856.7	  493.7	  666.0	  883.2	  529.3	  645.0	.....
2400175	  857.2	  494.7	  665.0	  883.3	  528.5	  644.0	.....
2400176	  857.4	  494.9	  664.0	  883.2	  528.3	  645.0	.....
2400177	  857.3	  494.6	  664.0	  882.9	  528.2	  646.0	.....
2400178	  857.0	  494.4	  663.0	  882.2	  528.9	  644.0	.....
2400179	  856.2	  494.4	  663.0	  881.5	  529.2	  642.0	.....
2400180	  855.7	  494.4	  663.0	  880.8	  529.3	  639.0	.....
2400181	  855.2	  494.6	  663.0	  880.7	  529.2	  639.0	.....
2400182	  855.2	  494.7	  663.0	  880.6	  529.1	  639.0	.....
2400183	  855.7	  494.7	  664.0	  880.6	  529.5	  639.0	.....
2400184	  856.3	  495.3	  664.0	  880.7	  530.1	  638.0	.....
2400185	  857.0	  496.0	  664.0	  881.2	  532.3	  640.0	.....
2400186	  857.1	  497.0	  664.0	  881.3	  534.7	  642.0	.....
2400187	  857.3	  497.8	  665.0	  881.2	  536.9	  644.0	.....
2400188	  857.4	  498.5	  664.0	  880.8	  537.0	  644.0	.....
EFIX R   2400115	2400188	74	  883.2	  523.9	    646
SSACC R  2400189
2400189	  857.6	  498.4	  662.0	  880.7	  536.5	  644.0	.....
2400190	  857.3	  496.1	  661.0	  880.3	  534.6	  643.0	.....
2400191	  856.4	  494.2	  662.0	  879.8	  533.4	  641.0	.....
2400192	  855.4	  493.0	  663.0	  878.1	  531.6	  639.0	.....
2400193	  856.2	  495.0	  664.0	  876.7	  531.0	  638.0	.....
2400194	  858.1	  497.0	  663.0	  874.4	  527.8	  638.0	.....
2400195	  860.1	  498.9	  662.0	  872.8	  522.7	  641.0	.....
2400196	  860.7	  499.2	  661.0	  871.9	  516.0	  649.0	.....
2400197	  860.3	  499.2	  660.0	  871.7	  509.8	  657.0	.....
2400198	  859.4	  499.4	  660.0	  872.6	  502.5	  661.0	.....
EFIX L   2400115	2400198	84	  859.3	  492.2	    667
SSACC L  2400199
2400199	  858.3	  499.1	  660.0	  875.0	  490.3	  662.0	.....
2400200	  858.1	  498.6	  660.0	  877.9	  480.5	  662.0	.....
2400201	  858.5	  497.9	  660.0	  879.5	  476.3	  660.0	.....
2400202	  859.3	  496.6	  660.0	  879.1	  482.0	  655.0	.....
2400203	  860.5	  493.6	  663.0	  878.3	  497.3	  640.0	.....
2400204	  863.8	  489.4	  669.0	  879.5	  518.3	  620.0	.....
2400205	  868.6	  485.5	  675.0	  880.6	  535.8	  604.0	.....
2400206	  876.1	  482.4	  678.0	  886.0	  578.0	  573.0	.....
2400207	  886.0	  479.8	  678.0	  893.2	  614.9	  543.0	.....
2400208	  897.7	  479.7	  676.0	  909.3	  655.6	  509.0	.....
2400209	  907.6	  484.9	  672.0	  927.3	  676.0	  487.0	.....
2400210	  916.9	  496.1	  663.0	  956.2	  722.0	  430.0	.....
2400211	  925.3	  510.9	  653.0	  992.7	  781.9	  369.0	.....
2400212	  933.9	  530.1	  631.0	 1022.7	  827.8	  322.0	.....
2400213	  941.9	  558.8	  613.0	 1038.9	  845.4	  314.0	.....
2400214	  948.7	  586.2	  589.0	 1038.9	  845.4	  314.0	.....
SBLINK R 2400215
2400215	  955.7	  612.9	  571.0	   .	   .	    0.0	...C.
2400216	  961.4	  634.0	  546.0	   .	   .	    0.0	...C.
2400217	  973.0	  668.3	  484.0	   .	   .	    0.0	...C.
2400218	 1001.3	  715.2	  424.0	   .	   .	    0.0	...C.
2400219	 1029.6	  761.4	  366.0	   .	   .	    0.0	...C.
2400220	 1052.6	  799.5	  346.0	   .	   .	    0.0	...C.
2400221	 1056.7	  816.6	  332.0	   .	   .	    0.0	...C.
2400222	 1058.9	  825.4	  325.0	   .	   .	    0.0	...C.
2400223	 1058.9	  825.4	  325.0	   .	   .	    0.0	...C.
SBLINK L 2400224
2400224	   .	   .	    0.0	   .	   .	    0.0	.C.C.
2400225	   .	   .	    0.0	   .	   .	    0.0	.C.C.
2400226	   .	   .	    0.0	   .	   .	    0.0	.C.C.
2400227	   .	   .	    0.0	   .	   .	    0.0	.C.C.
2400228	   .	   .	    0.0	   .	   .	    0.0	.C.C.
2400229	   .	   .	    0.0	   .	   .	    0.0	.C.C.
2400230	   .	   .	    0.0	   .	   .	    0.0	.C.C.
2400231	   .	   .	    0.0	   .	   .	    0.0	.C.C.
2400232	   .	   .	    0.0	   .	   .	    0.0	.C.C.
2400233	   .	   .	    0.0	   .	   .	    0.0	.C.C.
2400234	   .	   .	    0.0	   .	   .	    0.0	.C.C.
2400235	   .	   .	    0.0	   .	   .	    0.0	..RC.
2400236	   .	   .	    0.0	   .	   .	    0.0	..RC.
2400237	   .	   .	    0.0	   .	   .	    0.0	...C.
2400238	   .	   .	    0.0	   .	   .	    0.0	...C.
2400239	   .	   .	    0.0	   .	   .	    0.0	...C.
2400240	   .	   .	    0.0	   .	   .	    0.0	...C.
2400241	   .	   .	    0.0	   .	   .	    0.0	...C.
2400242	   .	   .	    0.0	   .	   .	    0.0	...C.
