13.7910 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
48.0071 	EXP 	Created hourglass_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, image='exp_visuals/hourglass-2.jpg', interpolate=True, mask=None, maskParams=None, name='hourglass_2', opacity=1, ori=0.0, pos=array([0. , 0.2]), size=array([0.05, 0.12]), texRes=128.0, units='height', win=Window(...))
48.0327 	EXP 	Created hourglass_3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, image='exp_visuals/hourglass-3.jpg', interpolate=True, mask=None, maskParams=None, name='hourglass_3', opacity=1, ori=0.0, pos=array([0. , 0.2]), size=array([0.05, 0.12]), texRes=128.0, units='height', win=Window(...))
48.0531 	EXP 	Created hourglass_4 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, image='exp_visuals/hourglass-4.jpg', interpolate=True, mask=None, maskParams=None, name='hourglass_4', opacity=1, ori=0.0, pos=array([0. , 0.2]), size=array([0.05, 0.12]), texRes=128.0, units='height', win=Window(...))
48.0942 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
48.0943 	EXP 	window1: mouseVisible = True
48.1039 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Gracias por realizar el experimento!', units='height', win=Window(...), wrapWidth=1)
48.1041 	EXP 	window1: mouseVisible = False
48.1139 	EXP 	slider: autoLog = True
48.1139 	EXP 	slider: markerPos = None
48.1139 	EXP 	slider: styleTweaks = []
48.1139 	EXP 	slider: styleTweaks = []
48.1139 	EXP 	slider: contrast = 1.0
48.1139 	EXP 	slider: autoLog = True
48.1139 	EXP 	instructions_text_1: autoDraw = True
48.6977 	DATA 	Mouse: Left button down, pos=(1287,643)
48.7138 	EXP 	instructions_text_1: autoDraw = False
48.7138 	EXP 	instructions_text_2: autoDraw = True
48.7493 	DATA 	Mouse:  Left button up, pos=(1288,644)
49.1476 	DATA 	Mouse: Left button down, pos=(1288,644)
49.1639 	EXP 	instructions_text_2: autoDraw = False
49.1639 	EXP 	instructions_text_3: autoDraw = True
49.2309 	DATA 	Mouse:  Left button up, pos=(1288,644)
49.5977 	DATA 	Mouse: Left button down, pos=(1288,644)
49.6049 	EXP 	Created mp01Target = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, fillColor=array([0, 0, 0]), fillColorSpace='rgb', fillRGB=array([0, 0, 0]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=2.0, name='mp01Target', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0., 0.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
